b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
719514680209907712,2016-04-11 13:17:22,3,b'China auto sales grew 7.8% in March \xe2\x80\x93 a market that continues to be strong for the sector\nhttps://t.co/iTF0VjjJp6',pos,0.5811,0.4189,2016-04-12
717697008178302977,2016-04-06 12:54:35,10,b'Short interest at the highest level since 2008 \xe2\x80\x93 sets up a bullish contrarian call\nhttps://t.co/S4PGff6WpD',pos,0.7915,0.2085,2016-04-07
716979488962256896,2016-04-04 13:23:25,1,"b""$MSFT's CEO and his interesting perspective on the ever changing dynamics in technology.\nhttps://t.co/xferKoxHpa""",pos,0.7946,0.2054,2016-04-05
716971213608914944,2016-04-04 12:50:32,1,b'Wages in the US understating the health of the job market\nhttps://t.co/pQNsZUYtDz',pos,0.6396,0.3604,2016-04-05
715172211754147841,2016-03-30 13:41:57,7,b'Hedge Funds establish near record bullish bet on higher oil prices\nhttps://t.co/dmUkE4FNSH',neg,0.1073,0.8927,2016-03-31
714868515350704129,2016-03-29 17:35:10,12,b'Fed Chair Yellen issues very dovish statement on the US and global economies \xe2\x80\x93 unlikely to raise rates for a while.https://t.co/6mRJbyQajw',pos,0.8843,0.1157,2016-03-30
714431102937612288,2016-03-28 12:37:03,1,b'More likely stimulus ahead for Japan\n\nhttps://t.co/AjJNCIF6cF',neg,0.2498,0.7502,2016-03-29
711880293158887425,2016-03-21 11:41:02,14,b'Buyback blackout period about to start\nhttps://t.co/dxW9AebLgr',neg,0.2936,0.7064,2016-03-22
710824404415082496,2016-03-18 13:45:19,1,b'Speculation grows of accord reached at G20\n\nhttps://t.co/V6VP4GQrzv',neg,0.3588,0.6412,2016-03-19
707591249017102338,2016-03-09 15:37:54,2,b'Hedge Funds back off China devaluation positions\nhttps://t.co/cl5b38Qfcn',neg,0.4528,0.5472,2016-03-10
707207827190898688,2016-03-08 14:14:19,2,b'2 important upcoming dates for US banks on CCAR:  capital &amp; stress test results to the Fed by April 5th + Fed releases results on June 30th.',neg,0.0957,0.9043,2016-03-09
706926079299166209,2016-03-07 19:34:46,2,b'Cyclical components holding down wage growth according to San Fran Fed\nhttps://t.co/1OzBv2S2W2',pos,0.9557,0.0443,2016-03-08
706925938777440256,2016-03-07 19:34:12,1,b'Fed officials hint inflation nearing their targets\nhttps://t.co/enUt5a00EL',pos,0.6205,0.3795,2016-03-08
706871801192849409,2016-03-07 15:59:05,2,b'Iron ore surges as sentiment turns bullish on supply/demand improvement.\n\nhttps://t.co/Dp1bbfgAwc',pos,0.9446,0.0554,2016-03-08
705758763161145344,2016-03-04 14:16:16,4,b'Energy M&amp;A may take a little longer \xe2\x80\x93 according to Blackstone\nhttps://t.co/wT23UgnPLP',neg,0.2912,0.7088,2016-03-05
705521894129274880,2016-03-03 22:35:02,4,b'Dollar struggles to rise even in the face of better economic data\n\nhttps://t.co/grPr50y1wx',neg,0.1561,0.8439,2016-03-04
705521821010030593,2016-03-03 22:34:44,2,b'Home flipping exceeds peaks in some hot US housing markets\n\nhttps://t.co/7rjq1jliCS',neg,0.4525,0.5475,2016-03-04
704672857004056576,2016-03-01 14:21:15,3,b'Next US recession may not be a biggie but could linger for longer\n\nhttps://t.co/O52DnMWGRF',neg,0.0101,0.9899,2016-03-02
704652826362908672,2016-03-01 13:01:40,2,b'Japan considering more spending to boost economy - if that is even possible.\nhttps://t.co/R32PdK7MPW',neg,0.2318,0.7682,2016-03-02
704652495172313088,2016-03-01 13:00:21,1,b'Global government debt to continue move upward for the foreseeable future.\n\nhttps://t.co/vaWE4wjO9K',pos,0.821,0.179,2016-03-02
704652377824088064,2016-03-01 12:59:53,1,b'China said to announce further \xe2\x80\x9cSuper-Regulatory Plan\xe2\x80\x9d later this year\n\nhttps://t.co/A0R1yZHqhb',neg,0.4722,0.5278,2016-03-02
702570524845711360,2016-02-24 19:07:20,5,b'NA rail traffic +4.8% in latest weekly reading vs -3.5% last week. First increase since September 5th 2015 - w a 16.3% gain in intermodal.',neg,0.3533,0.6467,2016-02-25
700770009052798978,2016-02-19 19:52:44,0,b'Global growth will be the #1 topic at next week\xe2\x80\x99s G-20.  \n\nhttps://t.co/q9Ruk1q3RH',neg,0.3653,0.6347,2016-02-20
700320580957052928,2016-02-18 14:06:52,3,"b""Fear's Grip Loosens in Markets as Rally Sends Correlations Lower https://t.co/GaGnJmGwdX via business""",neg,0.4455,0.5545,2016-02-19
700049471468609536,2016-02-17 20:09:34,1,b'US bond investors scaling back long bets last week as 10 yr yield fell to Sept 2012 levels.\n\nhttps://t.co/7NkreEyTVb',neg,0.2901,0.7099,2016-02-18
699958542569230336,2016-02-17 14:08:15,3,b'China quietly planning new rounds of stimulus. \nhttps://t.co/9HwKiXi0Jl',neg,0.2804,0.7196,2016-02-18
699594996463366144,2016-02-16 14:03:39,8,b'Deloitte study shows nearly a third of US oil producers are at risk for bankruptcy\n\nhttps://t.co/g3QtBz2DU0',neg,0.1,0.9,2016-02-17
699594899985924096,2016-02-16 14:03:16,0,b'China retail sales accelerates to 11.2% over New Year Holiday season. \n\nhttps://t.co/xk2YhGkxTa',pos,0.7125,0.2875,2016-02-17
699594794872471552,2016-02-16 14:02:51,0,"b'First steps - Saudi Arabia, Russia, others agree to freeze oil output.  Speculation on cuts continue to circulate\n\nhttps://t.co/cjo4AsGyOT'",neg,0.0423,0.9577,2016-02-17
698147830314246144,2016-02-12 14:13:08,2,b'Retailers pushing back on suppliers for cheaper prices\nhttps://t.co/DUZx7g8nmJ',pos,0.7027,0.2973,2016-02-13
698147585790517248,2016-02-12 14:12:10,0,b'Senate Banking Committee Chair Shelby doubtful negative interest rates meets legality standing. \n\nhttps://t.co/3s524DE6uF',neg,0.0905,0.9095,2016-02-13
698147210362556417,2016-02-12 14:10:40,0,b'Kuroda defends BOJ\xe2\x80\x99s policy move to negative rates in the face of market volatility\n\nhttps://t.co/NHJMBLwkbX',neg,0.1359,0.8641,2016-02-13
697849889179488257,2016-02-11 18:29:13,2,b'Corporate buybacks remain robust even in the face of market volatility\n\nhttps://t.co/Q1Gs7QKNdS',neg,0.4821,0.5179,2016-02-12
697551470183321600,2016-02-10 22:43:25,0,b'@CramersShirt thank you',pos,0.508,0.492,2016-02-11
697507857932091394,2016-02-10 19:50:07,0,b'@Fibonacciqueen @jimcramer thank you!!',pos,0.508,0.492,2016-02-11
697424396663844864,2016-02-10 14:18:28,0,b'@HalftimeReport thank you guys!',pos,0.5082,0.4918,2016-02-11
696006122864582657,2016-02-06 16:22:45,0,b'RT @larry_kudlow: Radio @LarryKudlowShow : Bear market in stocks? How long? @BobDollNuveen @Stephanie_Link',pos,0.6256,0.3744,2016-02-07
695605428277870592,2016-02-05 13:50:32,5,b'US Banks could be the next target from activists\n\nhttps://t.co/bZv2srWLKC',neg,0.2328,0.7672,2016-02-06
695244512453648384,2016-02-04 13:56:23,0,b'BOJ board among those surprised by negative interest rate plan https://t.co/qRoewvIm5F via Reuters',pos,0.8611,0.1389,2016-02-05
694519388674875392,2016-02-02 13:55:00,5,b'Looks like another year of sub par capex growth by US corporations\n\nhttps://t.co/mMJUwLwYsG',neg,0.0381,0.9619,2016-02-03
693115765654962176,2016-01-29 16:57:30,9,b'Market now expecting no interest rate hikes from the Fed this year\n\nhttps://t.co/yZwyWLohzL',neg,0.0762,0.9238,2016-01-30
692092153254801414,2016-01-26 21:10:02,3,b'Rotation underway year to date within technology sector.  Value vs Growth.\n\nhttps://t.co/7BCA0HQ0Ud',pos,0.694,0.306,2016-01-27
691614084215750656,2016-01-25 13:30:21,1,b'US IPO market at a standstill year to date\nhttps://t.co/cfUCHrk8gh',neg,0.4365,0.5635,2016-01-26
690208603551186946,2016-01-21 16:25:29,5,b'Joint Center for Housing Studies of Harvard sees Home Remodeling accelerating throughout the year\n\nhttps://t.co/13YyvKqzTS',neg,0.3567,0.6433,2016-01-22
690177502124359681,2016-01-21 14:21:54,3,b'IDC says ww spending on public cloud services will grow at 19.4% CAGR \xe2\x80\x93 6x the rate of overall IT spending growth.\nhttps://t.co/DyX8vW7R3D',neg,0.0246,0.9754,2016-01-22
687636527409721344,2016-01-14 14:04:58,0,b'Momentum darlings hit in S&amp;P 500 ytd as hedge fund stocks slide\n\nhttps://t.co/ReIibPMLm4',pos,0.6374,0.3626,2016-01-15
687636446040207360,2016-01-14 14:04:39,5,"b'Not surprising, Fed officials hint at slower rate hikes in the face of China uncertainty.  \n\nhttps://t.co/UUNPuzpkSi'",pos,0.7792,0.2208,2016-01-15
687271826364477440,2016-01-13 13:55:46,1,b'U.S. Equity Newsletter-Writer Bears at Highest Since Nov. 2011 \xe2\x80\x93 at 35.7%.',neg,0.3743,0.6257,2016-01-14
687271522130591744,2016-01-13 13:54:34,2,b'New leadership in China to help manage and stabilize its economy and markets. Huang Qifan to join economic team.\nhttps://t.co/rwSF2fgNVS',pos,0.8251,0.1749,2016-01-14
685100421719928832,2016-01-07 14:07:23,2,b'.Treasuries on longest winning streak in a year\n\nhttps://t.co/0gZDEVo8kY',pos,0.5592,0.4408,2016-01-08
684387493626654720,2016-01-05 14:54:28,8,b'Between a rock and a hard place; big oil\xe2\x80\x99s lesson from the Stone Age\n\nhttps://t.co/tMJn1Ykpjd',neg,0.1725,0.8275,2016-01-06
684026057041797120,2016-01-04 14:58:15,1,"b'$SPX finished 2015 (0.7%). Without ""FANG"", performance was ~(4%). FANG = $FB, $AMZN, $NFLX, $GOOGL.'",pos,0.7283,0.2717,2016-01-05
684016935747596288,2016-01-04 14:22:00,2,b'Euro zone December factory activity ended 2015 with expansions in all the countries \xe2\x80\x93 and at a 20 month high.\nhttps://t.co/sPplsmKFmc',neg,0.0983,0.9017,2016-01-05
679664807415549952,2015-12-23 14:08:12,2,"b'Bullish newsletter writers tracked by Investors Intelligence tumble to 10-week low, fall to 36.7% from 37.8%.  Nice set up for contrarians.'",pos,0.9943,0.0057,2015-12-24
679664743389462528,2015-12-23 14:07:57,5,b'One of China\xe2\x80\x99s earliest economic indicators shows signs of stabilization\nhttps://t.co/LEEvPEnREQ',pos,0.7177,0.2823,2015-12-24
679664676712611840,2015-12-23 14:07:41,1,b'Another large iron ore project gets mothballed in the face of weak demand\nhttps://t.co/mU22nytExQ',neg,0.1468,0.8532,2015-12-24
679664577433497601,2015-12-23 14:07:17,1,b'Watching if oil follows the 2008 seasonal trade\nhttps://t.co/lT9YoqF9Un',neg,0.2067,0.7933,2015-12-24
679304504630751232,2015-12-22 14:16:29,1,"b'With first Fed rate move complete, global CBs cooling on further stimulus measures\n\nhttps://t.co/ZgzGoDj6em'",pos,0.7184,0.2816,2015-12-23
677126130701344768,2015-12-16 14:00:24,1,b'Reuters poll shows energy is a top contrarian pick for 2016\nhttps://t.co/d8qBYtCAjA',pos,0.6485,0.3515,2015-12-17
677126054318874624,2015-12-16 14:00:06,2,b'China suspends fuel cuts \xe2\x80\x93 suggesting OPEC has gone too far in driving oil prices down. \nhttps://t.co/BGvcsJXOmu',neg,0.4002,0.5998,2015-12-17
676551095943086080,2015-12-14 23:55:25,1,b'This cycle may be different in iron ore \xe2\x80\x93 as the top 4 players have 75% market share.\n\nhttps://t.co/LlCsf8B8JC',pos,0.609,0.391,2015-12-15
675323023055060992,2015-12-11 14:35:30,0,b'China continues to buy semi assets\n\nhttps://t.co/qFDkzBVyRc',neg,0.0451,0.9549,2015-12-12
675322893853728768,2015-12-11 14:34:59,4,b'M&amp;A in the rail industry might heat up further as Buffett takes interest\n\nhttps://t.co/FzAkdxL3gL',pos,0.9071,0.0929,2015-12-12
674952916780908544,2015-12-10 14:04:50,1,b'OPEC: Crude production rose by 230k barrels/day in Nov to 31.695M/day \xe2\x80\x93 the highest level of production in three years.',pos,0.9908,0.0092,2015-12-11
674952730826432512,2015-12-10 14:04:05,2,b'IATA forecasts dbl digit EPS growth for the airline industry as cheap fuel and improving US economy remain tailwinds\nhttps://t.co/N2guRX5rAj',neg,0.1651,0.8349,2015-12-11
674226037778157568,2015-12-08 13:56:28,2,b'Komatsu sees mining downturn to continue until 2017\n\nhttps://t.co/Bh4hhBnGrf\n#CAT',pos,0.8593,0.1407,2015-12-09
673869084849778688,2015-12-07 14:18:04,1,"b'Chip makers look to autos for demand, deals and disruption\n\nhttps://t.co/HnQqArWteK'",neg,0.2593,0.7407,2015-12-08
673868978146680832,2015-12-07 14:17:38,3,b'US government getting closer on decision over US export ban on crude.\n\nhttps://t.co/O9n88QlilV',pos,0.5249,0.4751,2015-12-08
673868906638024704,2015-12-07 14:17:21,0,b'ECB proceedings in weeks ahead of the policy meeting suggest Draghi didn\xe2\x80\x99t get everything he wanted from the ECB\n\nhttps://t.co/OVN1zNrhxp',neg,0.0899,0.9101,2015-12-08
672528464105328642,2015-12-03 21:30:55,4,b'RT @HalftimeReport: Top PM sees opportunity in 3 stocks among current market volatility \xe2\x80\xa2  https://t.co/lmsUxc6aBJ (@Stephanie_Link) https:\xe2\x80\xa6',neg,0.2436,0.7564,2015-12-04
672050843772952576,2015-12-02 13:53:01,7,b'Flat yield curve suggests markets believe the gradual tightening strategy by Fed\n\nhttps://t.co/m5a2vks0LJ',pos,0.9068,0.0932,2015-12-03
671695707091378176,2015-12-01 14:21:50,0,b'M&amp;A expected to continue its strong momentum next year\nhttps://t.co/rn4NDatYBN',pos,0.6253,0.3747,2015-12-02
671322727706402817,2015-11-30 13:39:45,2,b'US House Transportation Chair sees multiyear highway bill to clear Congress for the first time in a decade. \nhttps://t.co/YyGWMhnyfG',neg,0.328,0.672,2015-12-01
671317126205079552,2015-11-30 13:17:30,3,b'Solid retail sales over holiday wknd \xe2\x80\x93 the clear highlight continues to be online share gains and dbl digit growth.\nhttps://t.co/HTDkAaGipH',pos,0.7635,0.2365,2015-12-01
670345657576775680,2015-11-27 20:57:13,7,"b'RT @HalftimeReport: What\xe2\x80\x99s the missing Link in $UNH, @Stephanie_Link reveals the details\nhttps://t.co/Ewv8BDwivG'",neg,0.2982,0.7018,2015-11-28
669959591342534657,2015-11-26 19:23:08,3,b'Happy Thanksgiving!',pos,0.5374,0.4626,2015-11-27
669514935408459776,2015-11-25 13:56:14,0,b'Early signs of wage pressure building in the US.  $WMT $SHAK $PHM $VTR\n\nhttps://t.co/n92bLzHw3A',neg,0.0736,0.9264,2015-11-26
669499544141438977,2015-11-25 12:55:04,2,b'ECB considering further monetary policy measures ahead of their 12/3 meeting\n\nhttps://t.co/urfyi2P7Bx',pos,0.6459,0.3541,2015-11-26
669499420736626688,2015-11-25 12:54:35,4,b'Large funds begin to position for the reflation trade\n\nhttps://t.co/0mM4yEdYgL',neg,0.3543,0.6457,2015-11-26
669159242469908480,2015-11-24 14:22:50,0,b'Contrarian thoughts on the dollar and manufacturing for 2016\n\nhttps://t.co/4oDkzUJEGd',neg,0.3631,0.6369,2015-11-25
669157297155907584,2015-11-24 14:15:06,4,b'Housing remains a bright spot in the US economy \xe2\x80\x93 home prices up 5.5% in September\n\nhttps://t.co/CUvhBgdXFq',pos,0.9911,0.0089,2015-11-25
668791638865666050,2015-11-23 14:02:06,2,b'Oil prices rise following commentary from Saudis on willingness to work with non-OPEC\n\nhttps://t.co/Uh0XR6ajMU',pos,0.725,0.275,2015-11-24
667697245471436800,2015-11-20 13:33:23,4,"b'China announces $45.5B in new projects to integrate Beijing, Tianjin and Hebei province into megacity. \n\nhttps://t.co/bynKWqrkvv'",pos,0.5472,0.4528,2015-11-21
667696871641509888,2015-11-20 13:31:54,6,b'Goldman Sachs eyes $20 oil on excess supply\n\nhttps://t.co/n1gZZdXxbp',neg,0.2429,0.7571,2015-11-21
667696776804044805,2015-11-20 13:31:31,0,b'Investors pull out $1.2 billion from bond ETFs ahead of liftoff \xe2\x80\x93 largest since June.\n\nhttps://t.co/95HOn4snyb',pos,0.6495,0.3505,2015-11-21
667696616107732996,2015-11-20 13:30:53,1,b'Wage pressures are building in the US\n\nhttps://t.co/JsN7kODWR6',neg,0.2474,0.7526,2015-11-21
667027878308143104,2015-11-18 17:13:33,3,b'Architectural Billings Index continues expansion w/ Oct at 53.1 and inquiries at 58.5 \xe2\x80\x93 led by multi-family projects\nhttps://t.co/MG7CB6Mi2h',neg,0.2893,0.7107,2015-11-19
666289693701599233,2015-11-16 16:20:16,0,b'OPEC export price falls below $40 for the first time since 2009.\nhttps://t.co/ES1iKnYyWr',neg,0.1772,0.8228,2015-11-17
664442196104486913,2015-11-11 13:58:58,4,b'China auto sales rebound nicely following recent stimulus\nhttps://t.co/l4nxnzwCb3',pos,0.7779,0.2221,2015-11-12
664430324840034304,2015-11-11 13:11:48,2,b'India continues to implement reform \xe2\x80\x93 easing foreign direct investment in 15 sectors.\nhttps://t.co/AQfZlhxoV2',pos,0.6307,0.3693,2015-11-12
664429644171640832,2015-11-11 13:09:06,1,b'Keeping an eye out on Portugal\xe2\x80\x99s political situation\nhttps://t.co/3wRvb1Hywh',pos,0.6657,0.3343,2015-11-12
663721241346490368,2015-11-09 14:14:09,3,"b'US credit cycle continues to improve:Total consumer debt +$.7T  in last 2 yrs, bank loans +$1.6T off 2011 trough &amp; now $.2T above 2008 peak.'",neg,0.0002,0.9998,2015-11-10
663712053492883456,2015-11-09 13:37:39,0,b'China policymaker sets 6.5% GDP growth at a floor for 2016-2020. $FXI.\nhttps://t.co/WibTIxipsG',neg,0.2614,0.7386,2015-11-10
663711933636460544,2015-11-09 13:37:10,2,b'M&amp;A in the oil industry looks to be heating up. $APA news today.\nhttps://t.co/GB8pyAfiKv',neg,0.2769,0.7231,2015-11-10
661910221497999360,2015-11-04 14:17:49,8,b'Bullish newsletter writers tracked by Investors Intelligence rise to 46.9% from 43.7% - highest since July 22nd.',pos,0.9165,0.0835,2015-11-05
661909777094676480,2015-11-04 14:16:03,7,b'M&amp;A hits $4 trillion year to date\nhttps://t.co/ELjQohSDTj',pos,0.7082,0.2918,2015-11-05
660151461356118016,2015-10-30 17:49:08,0,b'@afuntanilla\xc2\xa0thanks',pos,0.5374,0.4626,2015-10-31
660076841978470400,2015-10-30 12:52:37,1,b'Bond futures aren\xe2\x80\x99t convinced in the December liftoff at the Fed just yet  \nhttps://t.co/DgJd8KC32J',pos,0.5915,0.4085,2015-10-31
659365811434487808,2015-10-28 13:47:14,1,b'The latest trend:  VCs putting money into fashion retail\nhttps://t.co/1elyP74WQL\n$EBAY $AMZN',neg,0.0118,0.9882,2015-10-29
659354586784886784,2015-10-28 13:02:38,7,"b'In addition to lower gas prices, now heating bills will be lower this winter.  #consumer\nhttps://t.co/5PuPqGJGmL'",neg,0.0804,0.9196,2015-10-29
658637166952783872,2015-10-26 13:31:52,3,b'$FB breaking into the enterprise\nhttps://t.co/B5MHEvtGYM',neg,0.1368,0.8632,2015-10-27
658624781709918208,2015-10-26 12:42:39,0,b'Halloween retail season softness may have negative implications for the upcoming holidays\nhttps://t.co/PSdUMs2Qur',neg,0.0223,0.9777,2015-10-27
657174604818096135,2015-10-22 12:40:10,1,b'Xi sees economic growth in China as the new normal. https://t.co/226Rmynl0d',pos,0.9558,0.0442,2015-10-23
656467602588442624,2015-10-20 13:50:47,5,b'Chinese auto sales +14% y/y in October &amp; +43% sequentially from September.  New auto stimulus plan just beginning to have an impact.',pos,0.6094,0.3906,2015-10-21
656467100333133824,2015-10-20 13:48:47,1,b'Quietly the small/mid-size banks are merging following the $MTB $HCBK approval\nhttps://t.co/KAo850onko',pos,0.6159,0.3841,2015-10-21
656455239852236800,2015-10-20 13:01:40,6,"b""$AAPL's Tim Cook sees big changes ahead in the auto industry\nhttps://t.co/HU2b50rGDU""",neg,0.2579,0.7421,2015-10-21
656106953937133568,2015-10-19 13:57:42,3,b'Money flows slowly going back into Chinese equities\nhttp://t.co/HwJJ2S9vuP',neg,0.065,0.935,2015-10-20
652487829994512384,2015-10-09 14:16:35,2,b'The biggest drag to corporate profits is about to reverse:\nhttp://t.co/mCEx5RKJLH',neg,0.0486,0.9514,2015-10-10
652473070704312322,2015-10-09 13:17:57,0,b'IDC &amp; Gartner - PC demand shows declines but no worse than expected. Should continue the momentum in the group.\nhttp://t.co/uTNnMoVvZb',neg,0.0974,0.9026,2015-10-10
651740784744624128,2015-10-07 12:48:06,0,b'Energy executives expect dramatic declines in production growth ahead\nhttp://t.co/q5YcVC7GNo',pos,0.6746,0.3254,2015-10-08
651018324168568832,2015-10-05 12:57:18,3,b'Central banks losing credibility with the bond market\nhttp://t.co/Lq7clUo0rg',pos,0.5007,0.4993,2015-10-06
649956130794381313,2015-10-02 14:36:31,2,b'Blackstone Chief expects to see more REIT M&amp;A ahead\nhttp://t.co/YI2LtcLOdB',pos,0.691,0.309,2015-10-03
649285931040698368,2015-09-30 18:13:23,7,b'India remains a bright spot in the world economies: All India cement production rose 5.4% in Aug \xe2\x80\x93 largest increase since Nov 2014.',pos,0.9996,0.0004,2015-10-01
649200029861855232,2015-09-30 12:32:03,0,b'@jimomal77 @CNBC thank you.',pos,0.508,0.492,2015-10-01
649198246724829184,2015-09-30 12:24:58,6,b'Bullish newsletter writers tracked by Investors Intelligence drop to 24.7% --  lowest since Dec. 2008.',pos,0.5056,0.4944,2015-10-01
648954687178342400,2015-09-29 20:17:09,0,b'Watching this - could be a game changer for the auto/parts industry.\nhttp://t.co/LsSB6fxFWk',pos,0.6941,0.3059,2015-09-30
647030743441477632,2015-09-24 12:52:05,1,"b""$WMT shoppers could benefit from the yuan's weakness http://t.co/aknXpLSqZI""",neg,0.4668,0.5332,2015-09-25
647030659932930048,2015-09-24 12:51:45,1,"b""Interesting read on Brazil's financial crisis. http://t.co/SrUdvOPJ6c""",pos,0.6046,0.3954,2015-09-25
647030499127468032,2015-09-24 12:51:06,4,b'China consumers tighten belts - worthy to watch http://t.co/VOPEVOcp7y',pos,0.8022,0.1978,2015-09-25
647030336447229952,2015-09-24 12:50:28,2,b'Economists see PBOC cutting GDP target to 6.5-7% for 2016. http://t.co/vTuUNPyo1a',pos,0.7097,0.2903,2015-09-25
646670770442235904,2015-09-23 13:01:40,3,"b'2 negative non-residential data points this week could mean a breather for this sector. Aug Dodge Starts -10% y/y, m/m &amp; ABI -5.7 pts m/m.'",neg,0.0011,0.9989,2015-09-24
645945565944131584,2015-09-21 12:59:58,15,b'Investor sentiment for US equities at the lowest level since the 1980s. Good news for contrarians.\nhttp://t.co/WNMpFT97X6',pos,0.9823,0.0177,2015-09-22
645221691875061760,2015-09-19 13:03:33,2,"b""RT @larry_kudlow: Radio @LarryKudlowShow : What's up w/ stocks? Lately, very little. @Stephanie_Link &amp; @thejackbshow""",neg,0.4994,0.5006,2015-09-20
644906456572129280,2015-09-18 16:10:55,5,b'M&amp;A in the energy patch might not be far away - $XOM said to be looking at the Permian Basin\nhttp://t.co/jb8vh9gNOi',neg,0.0164,0.9836,2015-09-19
644130690825588736,2015-09-16 12:48:18,3,"b'ECB officials suggest more room to increase QE, if necessary.\nhttp://t.co/wnt8Oh7JxF'",pos,0.7012,0.2988,2015-09-17
643776653831835648,2015-09-15 13:21:29,6,b'Oil curve is finally hinting at higher prices further months out\n\nhttp://t.co/XjLhAgN37R',pos,0.9321,0.0679,2015-09-16
643403222716186625,2015-09-14 12:37:36,1,b'Many companies that went public in the past year are trading below their offering price\nhttp://t.co/P9lwY14hIY',neg,0.142,0.858,2015-09-15
643403078440484865,2015-09-14 12:37:02,1,"b'Kuwait, Iran cut oil prices to maintain market share within OPEC\nhttp://t.co/rBXF9jufhk'",neg,0.3181,0.6819,2015-09-15
639420550054604800,2015-09-03 12:51:53,7,b'Consumer strength continues to impress w $COST core sss +5.5% - best 2 yr stacked comp since Dec 2012.',neg,0.1625,0.8375,2015-09-04
639068174789537792,2015-09-02 13:31:40,6,b'Investor Intelligence data: bullish newsletter writers fall to 27.8% \xe2\x80\x93lowest since March 2009. Bears at 26.8% -highest since November 2012.',pos,0.9978,0.0022,2015-09-03
639067692935348224,2015-09-02 13:29:45,9,b'Home mortgage applications up 11.3% w/w and up 30% y/y.  Refies up 17% y/y \xe2\x80\x93 highest since April 2015.\nhttp://t.co/2VHbdrEYdz',neg,0.424,0.576,2015-09-03
638695928535379971,2015-09-01 12:52:30,2,b'Apple aims to make original content \xe2\x80\x93 following in the footsteps of Netflix and Amazon\nhttp://t.co/yFoAO6xMZw',pos,0.9411,0.0589,2015-09-02
638695823543549952,2015-09-01 12:52:05,3,b'US going on the offensive from Russian and Chinese cyber attacks\nhttp://t.co/jYOlrCnGqa',neg,0.1677,0.8323,2015-09-02
638332127281573888,2015-08-31 12:46:53,6,b'Arab OPEC members cut price expectations for oil suggesting lower for longer\n\nhttp://t.co/RdwnkUw40c',neg,0.4318,0.5682,2015-09-01
638331955025682432,2015-08-31 12:46:12,5,b'Central bankers from around the world tell Fed they are ready for higher US rates\n\nhttp://t.co/W38ArbIk4o',neg,0.2411,0.7589,2015-09-01
638331870955094016,2015-08-31 12:45:52,5,b'Watching key credit spreads as a potential tell for the S&amp;P 500\nhttp://t.co/TiogdnIssJ',pos,0.5625,0.4375,2015-09-01
634363107394093056,2015-08-20 13:55:25,6,b'Junk bond risk gauge hits YTD high\n\nhttp://t.co/OSMww9jzIV',pos,0.7775,0.2225,2015-08-21
633996349583818752,2015-08-19 13:38:03,1,b'Retailers are beginning to feel the effects of higher wages\nhttp://t.co/UVCSOcz8CL',pos,0.9401,0.0599,2015-08-20
